"","SRR3396381","SRR3396382","SRR3396384","SRR3396385","SRR3396386","SRR3396387"
"YIL051C",2506.51250801709,2615.46888441466,2310.83164377155,2209.79877132549,2020.13771871892,2110.18299653428
"YIL118W",1089.0916967742,1084.73343007167,1150.66493446026,1335.27831443477,1120.78006045298,1071.15888148948
"YIL097W",324.897102819193,350.141860683599,290.754310441651,238.0411991303,261.51534743903,265.842158769663
"YIR034C",5652.52318672406,6102.76073030088,6711.10357728555,1376.14375634555,1231.9468631971,1479.17303725684
"YIL109C",2257.11966148686,2141.21333824379,2106.54348447431,2035.0990071569,2184.15431293155,2281.5684175726
"YIL102C-A",132.704450447276,114.023141951719,125.423428033653,111.358329206878,130.302072068924,124.643942573322
"YIL105W-A",0,0,0,0,0,0
"YIL084C",180.752613540255,188.693164114792,189.085319535583,189.002668837363,186.796676742164,207.415310688418
"YIL039W",986.131347289241,1051.43463640435,980.583164626744,1191.22763169927,1128.06968686243,1175.35342723437
"YIR003W",1062.77960746138,1046.38936463658,999.586714328812,847.957919648708,834.66222388206,903.668583656584
"YIR031C",552.553875569262,528.744481262841,651.821754780956,438.281864493127,351.724474255977,390.486101342985
"YIL074C",1372.80465979941,1306.72538785378,1369.20575603405,1522.2377111766,1486.17258422668,1438.27424359997
"YIL022W",1942.51859361616,1816.29783639907,1925.05958481956,1543.69206817976,1531.73274928575,1526.88829652319
"YIL030C",1095.95572007319,1000.9819187266,1023.3411514564,1082.9342106357,1093.44396141755,1057.52595027053
"YIL140W",725.298461927354,689.184123478092,678.426724363852,772.356852113763,789.102058822995,723.519135406079
"YIL031W",418.705421238819,383.440654350915,436.131465662476,393.329878391268,449.223227482375,422.620867787669
"YIL014W",605.178054194906,593.323959890363,595.761283159853,728.426502059673,672.468036271791,630.036178476088
"YIL137C",915.203106532939,848.614711339788,773.444472874195,804.027569594618,891.1568285553,907.563706862
"YIR037W",1829.26220918271,1990.86423956409,1855.69662840701,1629.5094961924,1501.66304034676,1685.61456714391
"YIL127C",200.20067955408,152.367207386811,300.256085292685,409.67605515558,484.760156228445,347.639746083405
"YIL143C",869.442951206292,873.841070178664,873.213108810056,877.585365034024,916.670520988376,874.455159615961
"YIL079C",291.720990207374,283.544273348966,338.263184696823,425.000595872123,372.682150183147,311.609856433305
"YIR008C",454.169541616971,493.427578888414,495.992647223993,485.277122690525,461.980073698913,464.493442245895
"YIL040W",305.449036805368,296.661979945182,313.558570084133,400.481330725655,365.392523773696,322.321445248199
"YIL129C",868.298947323126,745.691167277174,652.771932266059,654.868706620267,627.819074513907,650.485575304524
"YIL100C-A",3.43201164949852,4.03621741422016,2.8505324553103,2.04327209553905,0.911203301181288,0.973780801354077
"YIL124W",2314.31985564517,2619.50510182888,2343.13767826507,1748.01927773366,1573.64810114008,1842.39327616191
